,topic_lda,D,R,words_lda,diff
19,19,0.06532202041576653,0.07241756378232639,congress right dc prayers thoughts committee talking action,0.007095543366559862
17,17,0.1656298404659435,0.17665929722666784,new thanks discuss veterans statement colleagues joined efforts,0.011029456760724338
11,11,0.2862287206055623,0.2747221797398398,live happy watch million national morning want tune,0.011506540865722503
16,16,0.15012590298555675,0.17646876601530861,work president federal communities town tonight hall visit,0.026342863029751862
5,5,0.12683171506874724,0.1531974248950967,act make read tomorrow deserve business long utpol,0.026365709826349448
6,6,0.179801574202513,0.21014467900807973,repeal proud nation reform republicans says way safe,0.030343104805566734
13,13,0.13940226182105198,0.17457981909938547,help stop rep public yesterday hope world look,0.03517755727833349
14,14,0.10313934502063574,0.1421558507162522,country bipartisan important daca home program dreamers safety,0.03901650569561646
3,3,0.1237855527766138,0.16661027067697182,family continue county forward opioid looking crisis report,0.04282471790035802
12,12,0.10221684958249815,0.14632722319791236,house time join ll access fighting floor end,0.044110373615414214
2,2,0.08366815401251713,0.13416702432166566,just let community know obamacare talk away capitol,0.05049887030914853
4,4,0.04542482668959656,0.0963935166136684,trump gop vote tax plan russia insurance legislation,0.050968689924071844
8,8,0.13191426678877954,0.18583758630744399,people senate healthcare need like good th state,0.05392331951866444
1,1,0.047582750462127045,0.10558644372796805,americans law stand service military members ve don,0.058003693265841004
9,9,0.10851752450017067,0.17096189802243317,support american day trump week protect amendment breaking,0.062444373522262495
18,18,0.1720820104147744,0.24949621569587832,thank today meeting great funding lives hearing students,0.07741420528110393
0,0,0.1315988676275588,0.21040023948029743,today working office news great pay free fair,0.07880137185273864
15,15,0.05535596228220283,0.1341740896811797,health care medicaid aca years americans coverage millions,0.07881812739897687
10,10,0.11851372987645191,0.21044956806052914,trumpcare jobs security better economy learn leaders future,0.09193583818407723
7,7,0.18681932653337263,0.2810451331844387,great fight women america families year protectourcare icymi,0.09422580665106606
